Entity,Code,Year,Shareofpopulationlivinginurbanareas(%),GDPpercapita(2011int-$)($),Totalpopulation(Gapminder)
Afghanistan,AFG,2016,25.02,1929,
Africa,,2016,41.60411351250703,,
Africa Maddison definition,,2016,,4680,
Albania,ALB,2016,58.421,11285,
Algeria,DZA,2016,71.459,13328,
American Samoa,ASM,2016,87.198,,
Andorra,AND,2016,88.248,,
Angola,AGO,2016,64.149,8397,
Anguilla,AIA,2016,100,,
Antigua and Barbuda,ATG,2016,24.846,,
Argentina,ARG,2016,91.627,18695,
Armenia,ARM,2016,63.082,9588,
Aruba,ABW,2016,43.192,,
Asia,,2016,48.60042281202824,,
Australia,AUS,2016,85.8,44783,
Australia/New Zealand,,2016,85.89739817521861,,
Austria,AUT,2016,57.905,45010,
Azerbaijan,AZE,2016,55.021,15296,
Bahamas,BHS,2016,82.832,,
Bahrain,BHR,2016,89.09,39773,
Bangladesh,BGD,2016,35.083,3250,
Barbados,BRB,2016,31.193,10160,
Belarus,BLR,2016,77.661,18766,
Belgium,BEL,2016,97.919,39733,
Belize,BLZ,2016,45.495,,
Benin,BEN,2016,46.229,2166,
Bermuda,BMU,2016,100,,
Bhutan,BTN,2016,39.428,,
Bolivia,BOL,2016,68.738,6118,
Bosnia and Herzegovina,BIH,2016,47.518,10576,
Botswana,BWA,2016,67.933,15015,
Brazil,BRA,2016,86.042,13479,
British Virgin Islands,VGB,2016,46.957,,
Brunei,BRN,2016,76.99,,
Bulgaria,BGR,2016,74.329,17953,
Burkina Faso,BFA,2016,28.134,1561,
Burundi,BDI,2016,12.388,692,
Cambodia,KHM,2016,22.582,3307,
Cameroon,CMR,2016,55.179,2803,
Canada,CAN,2016,81.3,42969,
Cape Verde,CPV,2016,64.784,6512,
Caribbean,,2016,70.44616856642217,,
Caribbean Netherlands,OWID_NLC,2016,74.792,,
Cayman Islands,CYM,2016,100,,
Central African Republic,CAF,2016,40.618,619,
Central America,,2016,74.0703991289589,,
Central Asia,,2016,48.12729481502199,,
Chad,TCD,2016,22.677,2192,
Channel Islands,OWID_CIS,2016,30.93,,
Chile,CHL,2016,87.422,21446,
China,CHN,2016,56.736,12320,
Colombia,COL,2016,80.108,12963,
Comoros,COM,2016,28.619,1713,
Congo,COG,2016,66.001,4310,
Cook Islands,COK,2016,74.62,,
Costa Rica,CRI,2016,77.735,13986,
Cote d'Ivoire,CIV,2016,49.881,3664,
Croatia,HRV,2016,56.403,21625,
Cuba,CUB,2016,76.93,,
Curacao,CUW,2016,89.272,,
Cyprus,CYP,2016,66.881,26540,
Czech Republic,CZE,2016,73.57,31089,
Czechoslovakia,OWID_CZS,2016,,30118,
Democratic Republic of Congo,COD,2016,43.307,836,
Denmark,DNK,2016,87.642,45141,
Djibouti,DJI,2016,77.528,3394,
Dominica,DMA,2016,69.88,9773,
Dominican Republic,DOM,2016,79.436,14088,
East Asia Maddison definition,,2016,,10287,
Eastern Africa,,2016,27.02218998555532,,
Eastern Asia,,2016,60.80402788284191,,
Eastern Europe,,2016,69.37599183265039,,
Eastern Europe Maddison definition,,2016,,19355,
Ecuador,ECU,2016,63.534,10536,
Egypt,EGY,2016,42.732,11430,
El Salvador,SLV,2016,70.501,8335,
Equatorial Guinea,GNQ,2016,71.138,31486,
Eritrea,ERI,2016,38.827,,
Estonia,EST,2016,68.563,26173,
Ethiopia,ETH,2016,19.866,1659,
Europe,,2016,74.04845498106286,,
Faeroe Islands,FRO,2016,41.777,,
Falkland Islands,FLK,2016,76.744,,
Fiji,FJI,2016,55.235,,
Finland,FIN,2016,85.275,38335,
Former USSR,,2016,,18105,
Former Yugoslavia,,2016,,16361,
France,FRA,2016,79.917,38758,
French Guiana,GUF,2016,84.766,,
French Polynesia,PYF,2016,61.734,,
Gabon,GAB,2016,88.559,14334,
Gambia,GMB,2016,59.918,1950,
Georgia,GEO,2016,57.837,10483,
Germany,DEU,2016,77.224,46841,
Ghana,GHA,2016,54.749,3753,
Gibraltar,GIB,2016,100,,
Greece,GRC,2016,78.387,24689,
Greenland,GRL,2016,86.326,,
Grenada,GRD,2016,36.072,,
Guadeloupe,GLP,2016,98.452,,
Guam,GUM,2016,94.617,,
Guatemala,GTM,2016,50.319,7137,
Guinea,GIN,2016,35.46,1668,
Guinea-Bissau,GNB,2016,42.533,1354,
Guyana,GUY,2016,26.482,,
Haiti,HTI,2016,53.396,1636,
High-income countries,,2016,81.12076870754852,,
Honduras,HND,2016,55.813,4435,
Hong Kong,HKG,2016,100,47043,
Hungary,HUN,2016,70.779,24047,
Iceland,ISL,2016,93.735,42980,
India,IND,2016,33.182,5961,
Indonesia,IDN,2016,53.989,10511,
Iran,IRN,2016,73.88,15529,
Iraq,IRQ,2016,70.094,13976,
Ireland,IRL,2016,62.737,55653,
Isle of Man,IMN,2016,52.343,,
Israel,ISR,2016,92.256,32494,
Italy,ITA,2016,69.855,34989,
Jamaica,JAM,2016,55.098,7175,
Japan,JPN,2016,91.457,36452,
