Entity,Code,Year,Urbanlandarea(sq.km)(squarekilometres)
Albania,ALB,2010,1689.403809
Algeria,DZA,2010,30195.79688
American Samoa,ASM,2010,116.1668701
Angola,AGO,2010,1427.029541
Antigua and Barbuda,ATG,2010,266.2775574
Arab World,,2010,193254.6570712
Argentina,ARG,2010,55032.20313
Aruba,ABW,2010,172.8477478
Australia,AUS,2010,36745.70313
Bahamas,BHS,2010,425.8963623
Bahrain,BHR,2010,549.2779541
Bangladesh,BGD,2010,11125.3916
Barbados,BRB,2010,420.3754272
Belarus,BLR,2010,7783.031738
Belgium,BEL,2010,12349.22852
Belize,BLZ,2010,508.0564575
Benin,BEN,2010,1447.184937
Bermuda,BMU,2010,38.61519241
Bosnia and Herzegovina,BIH,2010,1723.146729
Brazil,BRA,2010,134981.375
British Virgin Islands,VGB,2010,51.4707756
Brunei,BRN,2010,1017.068604
Bulgaria,BGR,2010,6678.94043
Cambodia,KHM,2010,1152.062866
Cameroon,CMR,2010,3680.405762
Canada,CAN,2010,126511.1641
Cape Verde,CPV,2010,180.3818817
Caribbean small states,,2010,9341.8206331
Cayman Islands,CYM,2010,160.9671021
Central Europe and the Baltics,,2010,71091.078125
Chile,CHL,2010,12027.5166
China,CHN,2010,380679.3
Colombia,COL,2010,36132.13672
Comoros,COM,2010,196.407196
Congo,COG,2010,1087.161865
Costa Rica,CRI,2010,4051.562988
Cote d'Ivoire,CIV,2010,3466.161621
Croatia,HRV,2010,5302.795898
Cuba,CUB,2010,9572.447266
Cyprus,CYP,2010,2280.400391
Democratic Republic of Congo,COD,2010,9061.722656
Denmark,DNK,2010,9295.174805
Djibouti,DJI,2010,149.8288422
Dominica,DMA,2010,251.302948
Dominican Republic,DOM,2010,5089.375977
Early-demographic dividend,,2010,895934.126237805
East Asia & Pacific,,2010,701588.054975745
East Asia & Pacific (IDA & IBRD),,2010,507314.326138585
East Asia & Pacific (excluding high income),,2010,509743.364759035
Ecuador,ECU,2010,10905.65137
Egypt,EGY,2010,24270.23242
El Salvador,SLV,2010,3598.269287
Equatorial Guinea,GNQ,2010,97.47089386
Eritrea,ERI,2010,366.6149292
Estonia,EST,2010,2614.681396
Ethiopia,ETH,2010,5166.71582
Euro area,,2010,390687.3583709
Europe & Central Asia,,2010,861358.862808861
Europe & Central Asia (IDA & IBRD),,2010,341939.544644
